# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.update.unloaded.entities.ms,1776231986115000000,1776232038701000000,0
workspaceModel.loading.from.cache.ms,1776231986115000000,1776232038701000000,27
workspaceModel.loading.total.ms,1776231986115000000,1776232038701000000,31
workspaceModel.cachedValueWithParameters.from.cache.count,1776231986115000000,1776232038701000000,0
workspaceModel.cachedValueWithParameters.clear.count,1776231986115000000,1776232038701000000,0
workspaceModel.pre.handlers.ms,1776231986115000000,1776232038701000000,1
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1776231986115000000,1776232038701000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1776231986115000000,1776232038701000000,0
workspaceModel.collect.changes.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.instances.count,1776231986115000000,1776232038701000000,46
jps.modifiable.module.model.bridge.load.module.ms,1776231986115000000,1776232038701000000,0
workspaceModel.sync.entities.ms,1776231986115000000,1776232038701000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1776231986115000000,1776232038701000000,2
jps.modifiable.module.model.bridge.new.module.ms,1776231986115000000,1776232038701000000,21
jps.reload.project.entities.ms,1776231986115000000,1776232038701000000,0
jps.facet.change.listener.process.change.events.ms,1776231986115000000,1776232038701000000,0
jps.global.get.library.by.name.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1776231986115000000,1776232038701000000,1
jps.load.project.to.empty.storage.ms,1776231986115000000,1776232038701000000,30
workspaceModel.load.cache.metadata.from.file.ms,1776231986115000000,1776232038701000000,0
workspaceModel.global.updates.ms,1776231986115000000,1776232038701000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1776231986115000000,1776232038701000000,40
jps.global.get.libraries.ms,1776231986115000000,1776232038701000000,0
jps.global.handle.before.change.events.ms,1776231986115000000,1776232038701000000,0
jps.facet.change.listener.before.change.events.ms,1776231986115000000,1776232038701000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1776231986115000000,1776232038701000000,0
workspaceModel.save.cache.to.file.ms,1776231986115000000,1776232038701000000,169
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1776231986115000000,1776232038701000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776231986115000000,1776232038701000000,0
workspaceModel.load.cache.from.file.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1776231986115000000,1776232038701000000,4
workspaceModel.do.save.caches.ms,1776231986115000000,1776232038701000000,184
jps.library.entities.serializer.save.entities.ms,1776231986115000000,1776232038701000000,0
workspaceModel.moduleBridge.before.changed.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1776231986115000000,1776232038701000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776231986115000000,1776232038701000000,3
workspaceModel.moduleBridge.update.option.ms,1776231986115000000,1776232038701000000,0
jps.global.handle.changed.events.ms,1776231986115000000,1776232038701000000,0
jps.app.storage.content.reader.load.component.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1776231986115000000,1776232038701000000,8
jps.global.initialize.library.bridges.ms,1776231986115000000,1776232038701000000,0
workspaceModel.global.updates.count,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1776231986115000000,1776232038701000000,1
jps.project.serializers.save.ms,1776231986115000000,1776232038701000000,9
jps.storage.jps.conf.reader.load.component.ms,1776231986115000000,1776232038701000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1776231986115000000,1776232038701000000,1
workspaceModel.moduleBridge.facet.initialization.ms,1776231986115000000,1776232038701000000,0
jps.modifiable.module.model.bridge.disposing.ms,1776231986115000000,1776232038701000000,0
jps.save.changed.project.entities.ms,1776231986115000000,1776232038701000000,9
jps.save.global.entities.ms,1776231986115000000,1776232038701000000,4
jps.artifact.entities.serializer.save.entities.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1776231986115000000,1776232038701000000,13
jps.global.get.library.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1776231986115000000,1776232038701000000,18
workspaceModel.moduleManagerBridge.get.modules.ms,1776231986115000000,1776232038701000000,1
workspaceModel.global.apply.state.to.project.ms,1776231986115000000,1776232038701000000,0
workspaceModel.orphan.listener.update.ms,1776231986115000000,1776232038701000000,3
workspaceModel.mutableEntityStorage.remove.entity.ms,1776231986115000000,1776232038701000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1776231986115000000,1776232038701000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1776231986115000000,1776232038701000000,0
jps.apply.loaded.storage.ms,1776231986115000000,1776232038701000000,30
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776231986115000000,1776232038701000000,0
jps.library.entities.serializer.load.entities.ms,1776231986115000000,1776232038701000000,0
jps.global.initialize.library.bridges.after.loading.ms,1776231986115000000,1776232038701000000,5
jps.project.serializers.load.ms,1776231986115000000,1776232038701000000,6
jps.artifact.entities.serializer.load.entities.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776231986115000000,1776232038701000000,0
jps.facet.change.listener.init.bridge.ms,1776231986115000000,1776232038701000000,1
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776231986115000000,1776232038701000000,0
jps.module.iml.entities.serializer.save.entities.ms,1776231986115000000,1776232038701000000,3
workspaceModel.moduleManagerBridge.load.module.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776231986115000000,1776232038701000000,0
jps.modifiable.module.model.bridge.renaming.ms,1776231986115000000,1776232038701000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1776231986115000000,1776232038701000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1776231986115000000,1776232038701000000,3
workspaceModel.moduleManagerBridge.newModule.ms,1776231986115000000,1776232038701000000,48
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776231986115000000,1776232038701000000,1
jps.app.storage.content.writer.save.component.ms,1776231986115000000,1776232038701000000,2
workspaceModel.mutableEntityStorage.entities.ms,1776231986115000000,1776232038701000000,5
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776231986115000000,1776232038701000000,4
jps.load.initial.state.ms,1776231986115000000,1776232038701000000,20
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776231986115000000,1776232038701000000,4
jps.module.iml.entities.serializer.load.entities.ms,1776231986115000000,1776232038701000000,0
cacheStateStorage.get.counter,1776231986115000000,1776232038701000000,25
cacheStateStorage.set.counter,1776231986115000000,1776232038701000000,9
cacheStateStorage.get.duration,1776231986115000000,1776232038701000000,14
cacheStateStorage.set.duration,1776231986115000000,1776232038701000000,19
Indexing.writer_3.totalTimeSpentWritingMs,1776231986115000000,1776232038701000000,1071
Indexing.writer_1.totalTimeSpentWritingMs,1776231986115000000,1776232038701000000,1380
Indexes.allKeys.lookups,1776231986115000000,1776232038701000000,2
Indexing.writesQueuedMin,1776231986115000000,1776232038701000000,9223372036854775807
Indexes.allKeys.lookupDurationMaxMs,1776231986115000000,1776232038701000000,0.0
